people_id,person_hash,party_id,state_id,party,role_id,role,name,first_name,middle_name,last_name,suffix,nickname,district,ftm_eid,votesmart_id,opensecrets_id,knowwho_pid,ballotpedia,bioguide_id,committee_sponsor,committee_id,state_federal
21924,n6djpvpp,2,52,R,1,Rep,Young Kim,Young,,Kim,,,HD-CA-40,22215539,151787,N00042386,494206,Young_Kim_(California),K000397,0,0,16292
21925,l4oudi6e,2,52,R,1,Rep,Jay Obernolte,Jay,P.,Obernolte,,,HD-CA-23,13479345,151831,N00045377,494135,Jay_Obernolte,O000019,0,0,16298
21927,tmoreue5,2,52,R,1,Rep,Lauren Boebert,Lauren,,Boebert,,,HD-CO-3,19528829,191290,N00045974,724132,Lauren_Boebert,B000825,0,0,0
21928,6aoc44nq,2,52,R,1,Rep,Kat Cammack,Kat,,Cammack,,,HD-FL-3,49284296,191306,N00045978,447426,Kat_Cammack,C001039,0,0,0
21929,nnf8tn83,2,52,R,1,Rep,Byron Donalds,Byron,,Donalds,,,HD-FL-19,17657863,137655,N00034016,391126,Byron_Donalds,D000032,0,0,18109
21930,m8rwshmx,2,52,R,1,Rep,Scott Franklin,Scott,,Franklin,,,HD-FL-18,49846565,191355,N00046760,735595,Scott_Franklin,F000472,0,0,0
21931,v8f2spmx,2,52,R,1,Rep,Carlos Gimenez,Carlos,,Gimenez,,,HD-FL-28,49846593,81366,N00046394,731724,Carlos_Gimenez,G000593,0,0,0
21932,r7glzu6y,2,52,R,1,Rep,Maria Salazar,Maria,Elvira,Salazar,,,HD-FL-27,45399472,182300,N00042810,658161,Maria_Elvira_Salazar,S000168,0,0,0
21934,xfgfdpcq,2,52,R,1,Rep,Andrew Clyde,Andrew,,Clyde,,,HD-GA-9,49394308,189770,N00046654,733887,Andrew_Clyde,C001116,0,0,0
21935,21y0ga9h,2,52,R,1,Rep,Marjorie Greene,Marjorie,Taylor,Greene,,,HD-GA-14,48161226,189785,N00044701,707878,Marjorie_Taylor_Greene,G000596,0,0,0
21936,n4prpgbl,1,52,D,1,Rep,Nikema Williams,Nikema,,Williams,,,HD-GA-5,26177470,176751,N00047361,648743,Nikema_Williams,W000788,0,0,19535
21938,hesujqm7,2,52,R,1,Rep,Randy Feenstra,Randy,L.,Feenstra,,,HD-IA-4,6079832,103301,N00044011,271911,Randy_Feenstra,F000446,0,0,7148
21939,zj18zmyg,2,52,R,1,Rep,Ashley Hinson,Ashley,E.,Hinson,,,HD-IA-2,38148887,168783,N00044521,572935,Ashley_Hinson,H001091,0,0,18956
21940,li3dutka,2,52,R,1,Rep,Mariannette Miller-Meeks,Mariannette,J.,Miller-Meeks,,,HD-IA-1,6022032,103294,N00029495,267080,Mariannette_Miller-Meeks,M001215,0,0,21098
21941,meparsvp,2,52,R,1,Rep,Mary Miller,Mary,,Miller,,,HD-IL-15,48161308,187988,N00045703,721413,Mary_Miller_(Illinois),M001211,0,0,0
21943,64slefqy,1,52,D,1,Rep,Frank Mrvan,Frank,J.,Mrvan,Jr.,,HD-IN-1,6393363,113775,N00045905,722372,Frank_Mrvan_(Indiana_congressional_candidate),M001214,0,0,0
21944,hksmuovv,2,52,R,1,Rep,Victoria Spartz,Victoria,K.,Spartz,,,HD-IN-5,6986460,178203,N00046537,638877,Victoria_Spartz,S000929,0,0,19458
21946,tangsk64,2,52,R,1,Rep,Tracey Mann,Tracey,,Mann,,,HD-KS-1,15488021,125007,N00030743,284640,Tracey_Mann,M000871,0,0,0
21947,3qw9rp5n,1,52,D,1,Rep,Jake Auchincloss,Jake,,Auchincloss,,,HD-MA-4,48161414,173832,N00045506,719720,Jake_Auchincloss,A000148,0,0,0
21948,8bibtcrv,2,52,R,1,Rep,Lisa McClain,Lisa,,McClain,,,HD-MI-9,49944007,191633,N00045730,721727,Lisa_McClain,M001136,0,0,0
21950,ss0arjml,2,52,R,1,Rep,Michelle Fischbach,Michelle,,Fischbach,,,HD-MN-7,13012379,3882,N00045251,195769,Michelle_Fischbach,F000470,0,0,6474
21955,d0quaw5t,1,52,D,1,Rep,Deborah Ross,Deborah,,Ross,,,HD-NC-2,5853356,41560,N00038565,211983,Deborah_Ross,R000305,0,0,2119
21957,adh14aa5,1,52,D,1,Rep,Teresa Fernandez,Teresa,Leger,Fernandez,,,HD-NM-3,1921149,189882,N00044559,453352,Teresa_Leger_Fernandez,L000273,0,0,0
21959,osz2vvaz,2,52,R,1,Rep,Andrew Garbarino,Andrew,R.,Garbarino,,,HD-NY-2,15666124,143103,N00046030,433049,Andrew_Garbarino,G000597,0,0,14749
21961,f7cd23g4,2,52,R,1,Rep,Nicole Malliotakis,Nicole,,Malliotakis,,,HD-NY-11,13009241,127929,N00044040,309650,Nicole_Malliotakis,M000317,0,0,11105
21962,v3uhlrlu,1,52,D,1,Rep,Ritchie Torres,Ritchie,John,Torres,,,HD-NY-15,48161012,161718,N00044346,703996,Ritchie_Torres,T000486,0,0,0
21963,4l5vd66s,2,52,R,1,Rep,Stephanie Bice,Stephanie,,Bice,,,HD-OK-5,23442515,152294,N00044579,495403,Stephanie_Bice,B000740,0,0,16958
21964,hu876n3v,2,52,R,1,Rep,Cliff Bentz,Cliff,B.,Bentz,,,HD-OR-2,4964521,102400,N00045773,262468,Cliff_Bentz,B000668,0,0,6215
21965,m0fy0tv1,2,52,R,1,Rep,Nancy Mace,Nancy,,Mace,,,HD-SC-1,23424620,146076,N00035670,466143,Nancy_Mace,M000194,0,0,19545
21966,q1jc8j5b,2,52,R,1,Rep,Diana Harshbarger,Diana,,Harshbarger,,,HD-TN-1,49626376,190524,N00046688,734559,Diana_Harshbarger,H001086,0,0,0
21967,5bcp8t50,2,52,R,1,Rep,Patrick Fallon,Patrick,,Fallon,,Pat,HD-TX-4,12553367,115056,N00047264,414616,Pat_Fallon,F000246,0,0,14569
21968,9a6lbhre,2,52,R,1,Rep,Ernest Gonzales,Ernest,Anthony,Gonzales,II,Tony,HD-TX-23,48161835,188225,N00044592,706319,Tony_Gonzales,G000594,0,0,0
21969,repkb6w1,2,52,R,1,Rep,Ronny Jackson,Ronny,,Jackson,,,HD-TX-13,48644982,188325,N00046055,342600,Ronny_Jackson,J000304,0,0,0
21970,x0zaa9xd,2,52,R,1,Rep,Troy Nehls,Troy,,Nehls,,,HD-TX-22,48645001,188334,N00046067,719080,Troy_Nehls,N000026,0,0,0
21971,a4hz6x9i,2,52,R,1,Rep,August Pfluger,August,Lee,Pfluger,II,,HD-TX-11,48161883,188165,N00045421,717802,August_Pfluger,P000048,0,0,0
21972,57vjrlfd,2,52,R,1,Rep,Elizabeth Van Duyne,Elizabeth,Ann,Van Duyne,,Beth,HD-TX-24,48161909,79150,N00045167,661605,Beth_Van_Duyne,V000134,0,0,0
21973,3ejqjytg,2,52,R,1,Rep,Blake Moore,Blake,David,Moore,,,HD-UT-1,49449645,191164,N00046598,732706,Blake_Moore,M001213,0,0,0
21974,ds1jt8in,2,52,R,1,Rep,Burgess Owens,Burgess,,Owens,,,HD-UT-4,24352095,191166,N00045812,722306,Burgess_Owens,O000086,0,0,0
21976,90b3h640,1,52,D,1,Rep,Marilyn Strickland,Marilyn,,Strickland,,,HD-WA-10,49946469,80596,N00046320,727678,Marilyn_Strickland,S001159,0,0,0
21977,udjuvnqs,2,52,R,1,Rep,Scott Fitzgerald,Scott,L.,Fitzgerald,,,HD-WI-5,13013877,3446,N00045434,199880,Scott_Fitzgerald,F000471,0,0,3920
22003,uikvpmn3,2,52,R,2,Sen,Tommy Tuberville,Thomas,H.,Tuberville,,Tommy,SD-AL,48161175,188306,N00044434,703296,Tommy_Tuberville,T000278,0,0,0
22004,jm9d1r57,1,52,D,2,Sen,John Hickenlooper,John,W.,Hickenlooper,,,SD-CO,6001155,71547,N00044206,288619,John_Hickenlooper,H000273,0,0,0
22005,n83iln24,2,52,R,2,Sen,Bill Hagerty,William,F.,Hagerty,IV,Bill,SD-TN,2170351,128466,N00045369,333606,Bill_Hagerty,H000601,0,0,0
22485,qvqzpvm8,1,52,D,2,Sen,Jon Ossoff,Thomas,Jonathan,Ossoff,,Jon,SD-GA,43492014,176134,N00040675,251917,Jon_Ossoff,O000174,0,0,0
22486,xs0w7jfs,1,52,D,2,Sen,Alex Padilla,Alex,,Padilla,,,SD-CA,6468901,59742,N00047888,248511,Alex_Padilla,P000145,0,0,1596
22487,5yderwpg,1,52,D,2,Sen,Raphael Warnock,Raphael,G.,Warnock,,,SD-GA,18063880,189794,N00046489,730636,Raphael_Warnock,W000790,0,0,0
22915,9al4kovy,2,52,R,1,Rep,Julia Letlow,Julia,Janelle,Letlow,,,HD-LA-5,52851959,195745,N00047972,768497,Julia_Letlow,L000595,0,0,0
22929,ndmtm3it,1,52,D,1,Rep,Troy Carter,Troy,,Carter,,,HD-LA-2,5051668,35462,N00025766,266759,Troy_Carter,C001125,0,0,17880
22939,wfmzd4jc,1,52,D,1,Rep,Melanie Stansbury,Melanie,Ann,Stansbury,,,HD-NM-1,44581391,180789,N00047871,461875,Melanie_Ann_Stansbury,S001218,0,0,20924
22947,9ltdxb73,2,52,R,1,Rep,Jake Ellzey,John,K.,Ellzey,Sr.,Jake,HD-TX-6,22214513,68070,N00042243,533891,Jake_Ellzey,E000071,0,0,22430
22966,c74atuk2,1,52,D,1,Rep,Shontel Brown,Shontel,,Brown,,,HD-OH-11,2964354,161622,N00047875,772727,Shontel_Brown,B001313,0,0,0
22967,luj8q7rc,2,52,R,1,Rep,Mike Carey,Mike,,Carey,,,HD-OH-15,12101236,196349,N00048568,776441,Mike_Carey_(Ohio),C001126,0,0,0
23048,8w2noj9v,1,52,D,1,Rep,Sheila Cherfilus-McCormick,Sheila,,Cherfilus-McCormick,,,HD-FL-20,0,182285,N00043504,665191,Sheila_Cherfilus-McCormick,C001127,0,0,0
23161,hj4ydmhp,2,52,R,1,Rep,Mike Flood,Mike,,Flood,,,HD-NE-1,6560805,41983,,227029,Mike_Flood,F000474,0,0,6931
23162,nnuydsw9,2,52,R,1,Rep,Brad Finstad,Brad,,Finstad,,,HD-MN-1,6597648,38612,N00050649,212943,Brad_Finstad,F000475,0,0,0
23173,2cma4mxv,1,52,D,1,Rep,Pat Ryan,Pat,,Ryan,,,HD-NY-18,44044931,180314,N00041165,627919,Pat_Ryan_(New_York),R000579,0,0,0
